"userAddress","nftOwned"
"0xb8EcD2b233599703Dc81FdF784D587224a87D555","not_minted"
"0xA7C1d79C7848c019bCb669f1649459bE9d076DA3","minted"
"0x68251b5f3889b1B98349f8aF8dbC1FAc75Ab4Ce9","minted"
"0x198f6679414444e0Ca81c1fc724C13dd245D6797","not_minted"
"0xab223A49806B57349871730463F2e532965c7cA5","not_minted"
"0x0cBFaa2a3EFddB46Ba61C4E82Ff3fcbc79F179b7","not_minted"
"0xEC91a7d27fAAF2708fA8b6fbf0101ACa9b913545","not_minted"
"0x7414d7bced4D796Cc43a448bf23d5Ebb7881cd9c","not_minted"
"0x64A4EBdedFef0601649Ae06b9a2F55B15917Eb42","not_minted"
"0x525EB0eF999FCE0BE9cd9803b121cB9Bb5e42CFF","minted"
"0x27a24c4ef854b0C9e4898e598633b6DAF47C4083","not_minted"
"0x0c23ba5E2acb1916E2096828A733E7FF19B21133","not_minted"
"0xcB78E3a5b3A88bE579784810a1678b8EC5120Ba2","not_minted"
"0x4E91a8Eb0CdCDbE8f39041a000cC7EF624dB13f2","not_minted"
"0x3206666740FA7D8Ba3B020fdB0c5dCe048B53f42","not_minted"
"0xAA851aE8c387Bd065119fcdf6800702a59088715","not_minted"
"0x835e69a3b5dd035d497957A711F3b42355AA460F","not_minted"
"0x09eD0dbafCc7Db8bC46d2Cf4437B352dD9E1F06b","not_minted"
"0x18AdF6997EB972a1B0CbF63c9Efe410d6EED64a7","minted"
"0xd216fB0F634286d82f0e7e5Ee4bBdd1454cD9f30","not_minted"
"0x85861d684ceF82d0824a4eDa1Fa577a757399f43","not_minted"
"0x1de2BBe1E4AB5A6aCC37a6BE2cEDE577c6C4cFC8","not_minted"
"0x2d8Eb84a537dfE9c4569e53bf5358C588c7622E0","not_minted"
"0x5FF064e709690a6A3CA8fBD8Ff64247535e2391A","not_minted"
"0xa316e87Ae02E75Bdb9A64add7b89E3e3645dD1d5","not_minted"
"0xAC7f0875C5ee8C8126e60686268052d187A1e848","not_minted"
"0x630d78C1e014F74Ca44Bf064D5201022E8c7b7C3","not_minted"
"0x140C495b9a227eDDe1Fe80B311e3687EAf80B6AB","minted"
"0x06A3C44115D436dF5D71475498bE4a220343AC14","not_minted"
"0x82E87E2856c60afe4014c55AC2473873f418D848","minted"
"0xa863e427139aA23f7f443BA54395e370bDFa4dC4","minted"
"0x082D7153b79F4DC6998802bD85E3441e5153d9C6","minted"
"0x1CF16a258c1eD86140de36b1c2910C7517E4EcC2","minted"
"0x903Ba1Cf3f47383470c97f0aEFE4F13a31D60F64","minted"
"0x056E0dE4259B1E8721093dA0B2355102f2F4703a","minted"
"0x6277f17ddd07c0167cea9969e1eb86C62091275d","minted"
"0x52B1884f5aa774569a942bA329A411078a4A9EC8","minted"
"0x3573bc8a1f3BEd9315841E7930a8b70ED6E275F5","minted"
"0x1D905D3AFC9126ef0435c10479D2f8689ac9CfD4","minted"
"0x11B3F61A9051Cf64D6bfc2399FE355C2c7EAbE6D","minted"
"0xdFf2AC111AD7f752DA9EC54a6d56D02A8a5D4896","minted"
"0x60a5e844360f487BB57eCA3A38Ad23212c6cb956","minted"
"0x1136D0f2e1dFd434a17D87F26D4896cf4fa69D8a","minted"
"0xC1B875Eec379c7Ed0E2D4937cb24a2D071b8B8a1","minted"
"0x39c06B54686b0540D6D57A254b976B1DF4310df1","minted"
"0x0f903331dd89DaC21D09539418a3F9A938889615","minted"
"0xd02727222381dE5ecb524c5238FE9b06A18f7057","minted"
"0xeAD9FCe56567C843E2C6D65BC99C7020d918e525","minted"
"0x7EA0f94c1D2F70783E6F427A9433459C76003630","minted"
"0xE8750a5b84Ef31886c45685400bDcA13e867e66D","minted"
"0xe0F9C5F05A158c50A7185B478CD6D48dC06C0de6","minted"
"0xFb9BF76Ee4e1520d8cDCDf42A432Ace14abc7C49","minted"
"0x7f90e882b04878a7cE80DaAf52F35Ca020bC2930","minted"
"0xFA190c4ae72614A640320bEE08aeFEe2Bc78f8B3","minted"
"0xFAB6621350A365988e7304eafc6495A4B27808c9","minted"
"0x70808814aFEaEb5f398248631CE9BDf3d9f73C67","minted"
"0x6AcC07EE65ba97CD738BA9e3E2F6BA95e73d1Bcd","minted"
"0xb2e146794Ac5AABE2D3545Bec0846dE67907aF4e","minted"
"0x8F0F24B133616C3f0D85EEaaac06f6A81d1575cA","minted"
"0x74870388183c872064d7E6075eD1B37018e39111","minted"
"0xd20252c0fb314656D87A895e99fA638a273F5333","minted"
"0xEA830AAc95aa5D369e639842FDFD09718F0af607","not_minted"
"0x8681D003404e61B1223445679b555D119dACC22E","minted"
"0xA83Eae8c7CC3369843963c8b0FfE093a6e5BB061","minted"
"0x7301b1037240e70ac1Cb0584446d288A9f15FD55","minted"
"0x8AeD470145244bc8f303cC21dA0e7464f69eB527","minted"
"0x4EF9145813141BFaB62733540F7D469ACD793AE6","minted"
"0x6af80328E7b7c216Aeb7e78C0B6652Df6F584e6F","minted"
"0xb4f8caD3565C2Ac64D02Ad6D0aef27AD7C1A0774","minted"
"0xd1a6dAba5d4789ee04d95a5Cc553637162A4DB23","not_minted"
"0x0bA7C46D72dcD51bcD45Cb7801A63C7Ad5372441","minted"
"0xA3320FAdA3dA461E3e394C14ab47cbF718EA9769","minted"
"0x64d1d1d9085B99C3880b88d3E7aEa8E543b0d5Bc","minted"
"0xad515044f205dD882719FAB23110827055cb2E26","minted"
"0x530ADBa9A83872cd85e854D7987739682C811fb6","minted"
"0x0de9518E2C9c57651a5b8302db07571a1ab41208","minted"
"0xF5EDE9501e8827FF9Dc13A83dC967f9b7BEF4024","minted"
"0x5e7570DD7cfc1E573E1E62F6a6d7D26D4E4b1E80","minted"
"0x502C4ACc412a9E06a00dC6A4095d366A9EADe4c6","minted"
"0x369ffE38b057147e4960498857AF4b20Ea5f7049","minted"
"0x55F09C9Ad9Fc03F3c30b312ad596B58e1eE1Cd60","minted"
"0x635c40AbD080fae47f948717d9a6F770Aa45742D","minted"
"0x00769350FA9CAa48911BCFc102C7CB9032A16384","minted"
"0x6072070F2135531742B1246b3CEF85C88b1944Ef","minted"
"0x9489d6b98cF06DddB8047Cd5fFE946De945B6912","minted"
"0xa4A7e714A30EA848DAb2b837563A370c397c7AaE","minted"
"0xAdf144218Bc68dba3D49b8FE457387cd15291Eb4","minted"
"0x9278C806278137888AF1e7f9500117139f517988","minted"
"0x881924048114cc2a22Ae2C0A67A6C4bCb74571D6","minted"
"0xB23326ddF67F6CdA92AB78132eE50F04311Dc78b","minted"
"0x53828B9f475ae602e7beA9808F3DFef6D289AD21","minted"
"0xAc0bec798589474f3BD6eCfE01F88E6F699326CE","minted"
"0x4A7f182F01EadA833a0aE2d954f58fB61C7e656C","minted"
"0xd9E330087ffA488daF178e15754848e22f2f27d0","minted"
"0x3E4F3059DC5D573cde3a2A1DD92c08A747506078","minted"
"0x17D13e877caf131c54F0DB3195aB7d31F167718F","minted"
"0x668385B9F1184D00c05182712395aa7D09561F1b","minted"
"0xa74b1a1AeCB2291135B317d4b34EC1B984c14480","minted"
"0xC15D6E60323bd35c4B41d6eF8A42a60b52058576","minted"
"0x0da745F2Bd7655E4c70D6b02695ca772c8D2f69E","minted"
"0x974Dc9886750E81fE889757cB991a38F0e814Cb7","minted"
"0xfa36759b8cBf58B71567913BB2E28387707f319C","minted"
"0xd96Eba186955e8c6802620171612f4B0b34Eca3D","minted"
"0xDFcbb53CC19c6dC2Dc24aF71A9589Ef8298fD801","minted"
"0xf5F5FaA897e78292F159972A9122c599fFA86d96","minted"
"0xfFA10908DF136970b9abe63A88a966EC3fC45dE4","minted"
"0x7174427D81CeC34E9d45742E5011AE81a52dc5fd","minted"
"0x2Ecf6eb3a4Bf022B531Ee91fCF091eA3748cc37b","minted"
"0x894dFfA76dD55b9a42902Cf81519e9DAeE66bC29","minted"
"0x3Fd49071630843Aa6F7035c8c4436d74Abd64261","minted"
"0x584aE8000B8A45048e631f6CE6b1a4ed6Cb59E73","minted"
"0x009B7D94ae71C183a72c2d1d4a7b64f0c09b64B7","not_minted"
"0x3e1c423AC76016532c7E819e0d554Eecf62e8521","minted"
"0xF402Df58d15f79ec0afb6d6Cca0432D2f306d505","not_minted"
"0xa0243392695972a6071422173bea1Ad3227f023e","minted"
"0xc3844094a32B13939c3220087B1fC37592491D55","minted"
"0x1195Ef07d1C3C6B41734038f4c1c13ae354C656A","minted"
"0x37CF6074Dc516Ed96Dd1466a340377D7b51a55c9","minted"
"0x96016a630Db8656132cfC0Baade6833a26bFD9F8","minted"
"0x9173983DC9421122F43c09d022627D9b9A52F67a","minted"
"0x02a965718Ca1288f25793D308C10844922B5E33F","minted"
"0x2ce826d7c860D8F4E62cFd888383a63804C585A9","minted"
"0x27E54e4eff841E483879E795143a978C73277789","minted"
"0x617aC94Ce87f092855e2b16b99cb9138d5e4ac7B","minted"
"0xF57F209ab059f8Bb03fC884a32f32f5C5aF660ED","minted"
"0xC9d3248Fe89aA37CD11a96642046733801c87B7C","minted"
"0x1c80bD2B0b911120755Ec1b8fd88f6C63F36368e","minted"
"0xBEaeE6127541fAa19931dc4b00c5ad3e7dD01fF9","minted"
"0x764fa7C4061069E406cBA4f653036f2AE049b136","minted"
"0x0F017A0df487405c83477fe3A5C1eeD091B6c9Df","minted"
"0x544d7fEFF8e6777773a1F72a821B5a098e8675f0","minted"
"0xfFA48ADb763032b42A9A15D9dd631cE7656D3282","minted"
"0xc5bece9FBe22B0CeD17E3EF2c8Ac82Fa1323cf02","minted"
"0xf3E5ff12aB5dDd3cf46Ae2c6E344631E17B28653","minted"
"0x24256b6635042D5f01535484A6Aaa5Fe4f417f2c","minted"
"0x7a9BCEAb713cfAe0958dc6C8705bf4A64966a506","minted"
"0xac7e496cab7166bE2A60d36E06b029608800f3e5","minted"
"0x0dF5cf2C08A2dABc940F5fB8Dd8620b1a76a32c1","minted"
"0xD0E10fAD13314ba6f86263Fab44446cABA1230F3","minted"
"0x94a48410498EbC5089511FC18653da359022Eddc","minted"
"0x57a5e9b79fd1A538f1F0d3D7549b4675b306adC8","minted"
"0xb86EC6214807C904f3B02aa8E72F4a220E2B5052","minted"
"0x5f7a1c2b82C010445A5a267313b9A7cA6eeac596","minted"
"0x90851DE4Dd9e4b16547507D0D4ed365f416229c8","minted"
"0xD57f0E470Afcba06CE00A8Da0F8217e24eCd8B56","minted"
"0xC1cadee9fd3A64c1eA0118d9510418F7E1Bf9F6D","minted"
"0x20f2b769835acd0FBE13eC7EA4029236d371498f","minted"
"0xDE5BeD5eDE425d6C5bBe6F14E398301583975187","minted"
"0x899Ed92104A4D4A25052aF89c3eFc77B1a4C7311","minted"
"0xfBB0168B9Fef2C6c3ed708D20D0FB84Be7e80A86","minted"
"0xE70c53381bB4d8185A69Fd15c10E0C3Cc5CdD312","minted"
"0x5ba642236b297918FE97C98d7B39762e4F8502D9","minted"
"0x2Ea4d230B4bBFdf882Fa28DC29A008e130149f01","minted"
"0x6F182C4429EcA17ebCFa5Aa1B6dB3665dfDB8d40","minted"
"0xABA6497e78558A9258Cd77D3054DE9Ae4ADA0282","minted"
"0x763A192af111C8BE7918281275E8db9fD99a1b33","minted"
"0x4e64be3CdFD16A2C720E10DD849208E1E758fc73","minted"
"0x839154f3160af9009414fCf6f463052Cb93D3AC2","minted"
"0x19cf52BdeB965a56E8F4B5BEeae2d7133374aD48","minted"
"0xcBB05789BF46BE18Ff1c2918611A9d3628eb7470","minted"
"0xf2839dF38B94710F46AB80d0787fD5b8A7C94631","minted"
"0x686d24a2133850922f5F15E01088EC2D4f123FB8","minted"
"0x1d61595331be6E586FB02100D41604780c7E477A","minted"
"0xd617E8FAE84Cc261eE0965da5d1AFFcb79187F82","minted"
"0x9eCAA7161304C1D39D0534404d334Bc29798B950","minted"
"0x736025404F4E17a69A182c55800f9CF569681257","not_minted"
"0x247a3540B178Bb0784ceF88043b38E993A210dbE","minted"
"0xfDE13BeA89541A928E554F7125636298251B15F4","minted"
"0x573C8c444233c9391a3BeD7Bc68b22C5e38C2135","minted"
"0x33BF0c7AA2363172aABDbC2075cdc981755dbF97","minted"
"0x16ca422C8cce0114243fB202DDB08602D5a40d44","minted"
"0xAc348EAAdd47a52c4EB54F0d5B8A9Ce66b28b32a","minted"
"0x58F54DDfe9cfAE89de4E316136240422C04EC09C","minted"
"0xDe9E730685559164A577D7b99E7Fd6113126b19a","minted"
